,P@1_L1,RS@1_L1,P@2_L1,RS@2_L1,P@3_L1,N@3_L1,$\mu$P_L1,$\mu$R_L1,$\mu$F1_L1,MaP_L1,MaR_L1,MaF1_L1,P@1_L2,RS@1_L2,P@2_L2,RS@2_L2,P@3_L2,N@3_L2,$\mu$P_L2,$\mu$R_L2,$\mu$F1_L2,MaP_L2,MaR_L2,MaF1_L2,P@1_L3,RS@1_L3,P@2_L3,RS@2_L3,P@3_L3,N@3_L3,$\mu$P_L3,$\mu$R_L3,$\mu$F1_L3,MaP_L3,MaR_L3,MaF1_L3
fastxml,0.6643,0.1515,0.5908,0.0609,0.5684,0.6047,0.8008,0.2497,0.379,0.5012,0.103,0.1705,0.4966,0.0204,0.5205,0.0151,0.5469,0.5872,0.8507,0.1524,0.2573,0.1766,0.0302,0.0515,0.6118,0.072,0.7058,0.0781,0.7535,0.7753,0.8357,0.0455,0.086,0.1257,0.0119,0.0216
parabel,0.7183,0.1458,0.6241,0.0477,0.5885,0.6344,0.4953,0.4611,0.4774,0.5224,0.3142,0.3924,0.5482,0.0111,0.5421,0.0063,0.5459,0.5932,0.5787,0.307,0.4012,0.3106,0.1175,0.1704,0.6079,0.0352,0.6716,0.0264,0.7083,0.7426,0.4922,0.1791,0.2626,0.214,0.0685,0.1037
cascadexml,0.9399,0.622,0.8887,0.2202,0.8616,0.888,0.8363,0.709,0.7674,0.8034,0.625,0.7031,0.7936,0.0325,0.7727,0.0168,0.7656,0.8067,0.7998,0.6231,0.7004,0.5781,0.3824,0.4603,0.8178,0.0729,0.8424,0.052,0.8512,0.8772,0.7325,0.5289,0.6143,0.4772,0.3148,0.3793
attentionxml,0.9466,0.7524,0.9044,0.3237,0.8832,0.9063,0.8181,0.7656,0.7903,0.7821,0.6987,0.7372,0.8269,0.2681,0.81,0.1458,0.798,0.8353,0.7879,0.6795,0.7292,0.5968,0.4527,0.5139,0.866,0.5646,0.8794,0.2964,0.8789,0.899,0.7329,0.5746,0.6434,0.5333,0.3704,0.4357
lightxml,0.9396,0.712,0.8825,0.2862,0.8508,0.8798,0.8514,0.6661,0.7474,0.8112,0.5754,0.6733,0.7846,0.2268,0.7652,0.1265,0.7571,0.7985,0.8188,0.5801,0.6791,0.5536,0.3247,0.4093,0.8316,0.518,0.8498,0.2954,0.8668,0.8857,0.7684,0.4724,0.5851,0.4437,0.2498,0.3196
match,0.9357,0.7076,0.8718,0.2756,0.8347,0.8666,0.8264,0.6692,0.7395,0.7773,0.578,0.663,0.7644,0.1949,0.7423,0.106,0.7343,0.7781,0.7722,0.5895,0.6685,0.5597,0.3662,0.4426,0.8078,0.4418,0.8338,0.2855,0.8568,0.8718,0.6947,0.4897,0.5745,0.4671,0.2996,0.3649
xmlcnn,0.9065,0.6222,0.8248,0.2277,0.7836,0.8217,0.8515,0.5374,0.6589,0.809,0.4073,0.5417,0.7154,0.194,0.7,0.1067,0.6993,0.7433,0.8256,0.434,0.5689,0.4967,0.2054,0.2906,0.7891,0.4805,0.8162,0.2947,0.8423,0.8624,0.7718,0.3182,0.4506,0.3848,0.1493,0.2151
hector,0.9061,0.5769,0.8547,0.1928,0.8285,0.8554,0.9597,0.1273,0.2248,0.8912,0.1221,0.2147,0.6341,0.0324,0.6213,0.012,0.6196,0.6528,0.8358,0.1468,0.2494,0.5372,0.1149,0.1891,0.7388,0.1094,0.7667,0.0841,0.7801,0.8094,0.2824,0.1497,0.1954,0.2846,0.1313,0.1794
dexa,0.8871,0.4466,0.7946,0.12,0.7392,0.7814,0.0514,0.9595,0.0976,0.0518,0.9114,0.0979,0.7202,0.0285,0.6698,0.0126,0.6479,0.7005,0.0355,0.9019,0.0684,0.0335,0.8386,0.0644,0.7572,0.0647,0.7492,0.0438,0.784,0.8185,0.0292,0.8881,0.0566,0.0276,0.8399,0.0534
ngame,0.8808,0.4395,0.792,0.1123,0.7383,0.7795,0.0664,0.9326,0.124,0.0584,0.8961,0.1096,0.7178,0.0274,0.6681,0.0114,0.6448,0.6979,0.0276,0.8873,0.0536,0.0256,0.8369,0.0497,0.7499,0.0622,0.737,0.0348,0.7465,0.787,0.0173,0.879,0.0339,0.017,0.8423,0.0333
