,P@1_L1,RS@1_L1,P@2_L1,RS@2_L1,P@3_L1,N@3_L1,$\mu$P_L1,$\mu$R_L1,$\mu$F1_L1,MaP_L1,MaR_L1,MaF1_L1,P@1_L2,RS@1_L2,P@2_L2,RS@2_L2,P@3_L2,N@3_L2,$\mu$P_L2,$\mu$R_L2,$\mu$F1_L2,MaP_L2,MaR_L2,MaF1_L2,P@1_L3,RS@1_L3,P@2_L3,RS@2_L3,P@3_L3,N@3_L3,$\mu$P_L3,$\mu$R_L3,$\mu$F1_L3,MaP_L3,MaR_L3,MaF1_L3
fastxml,0.7455,0.5931,0.7156,0.2713,0.7015,0.7249,0.6055,0.5252,0.5625,0.6751,0.2645,0.38,0.4357,0.0238,0.406,0.0112,0.3912,0.4202,0.78,0.0872,0.1569,0.0798,0.0041,0.0078,0.3784,0.0101,0.4126,0.0072,0.4348,0.4658,0.7719,0.0648,0.1195,0.0693,0.0048,0.0089
parabel,0.4987,0.4553,0.5219,0.2285,0.5558,0.5538,0.4365,0.6757,0.5304,0.3755,0.4716,0.4181,0.4974,0.0098,0.4506,0.0043,0.4265,0.4619,0.4136,0.283,0.3361,0.3367,0.0768,0.1251,0.4172,0.0042,0.4286,0.0027,0.434,0.4742,0.4758,0.2514,0.329,0.3444,0.0857,0.1372
cascadexml,0.9277,0.8464,0.9087,0.4064,0.8872,0.9052,0.8276,0.6569,0.7324,0.7836,0.5481,0.6451,0.7891,0.0367,0.7206,0.013,0.6714,0.7172,0.7999,0.3945,0.5284,0.4222,0.1442,0.2149,0.6555,0.0082,0.6495,0.0047,0.6475,0.6918,0.7328,0.3694,0.4911,0.4196,0.1558,0.2272
attentionxml,0.9247,0.8454,0.9058,0.4064,0.8839,0.9023,0.8336,0.6435,0.7263,0.7873,0.5391,0.64,0.795,0.1275,0.7323,0.0535,0.6885,0.7318,0.7867,0.4136,0.5421,0.4381,0.1514,0.2251,0.6862,0.0795,0.684,0.0514,0.6858,0.7267,0.7273,0.3991,0.5154,0.4122,0.1534,0.2235
lightxml,0.9257,0.8487,0.9062,0.407,0.8838,0.9023,0.8277,0.6484,0.7272,0.798,0.524,0.6326,0.7887,0.0988,0.7194,0.0416,0.6728,0.7181,0.8073,0.3779,0.5148,0.3731,0.1172,0.1783,0.6579,0.0538,0.6558,0.0373,0.6596,0.7024,0.7553,0.3418,0.4707,0.32,0.1075,0.1609
match,0.9263,0.8481,0.9067,0.4071,0.8844,0.9028,0.8208,0.6592,0.7312,0.7765,0.5543,0.6468,0.7953,0.1438,0.7273,0.0579,0.68,0.725,0.7944,0.3985,0.5308,0.5349,0.1789,0.2681,0.6792,0.0989,0.6716,0.0603,0.6707,0.7127,0.7378,0.3725,0.495,0.5338,0.187,0.277
xmlcnn,0.9134,0.8288,0.8931,0.3961,0.8695,0.8896,0.8218,0.6148,0.7034,0.8133,0.4694,0.5953,0.7585,0.1172,0.6868,0.0477,0.642,0.688,0.8381,0.2995,0.4413,0.4132,0.085,0.141,0.6439,0.0825,0.6422,0.0525,0.6456,0.688,0.7911,0.2783,0.4118,0.3985,0.0917,0.1492
hector,0.8805,0.7832,0.8653,0.3737,0.8448,0.8647,0.6556,0.7108,0.6821,0.6222,0.5619,0.5905,0.6854,0.0271,0.6179,0.0097,0.5747,0.6188,0.6902,0.2886,0.407,0.2148,0.0645,0.0992,0.4801,0.0076,0.489,0.0041,0.4946,0.5318,0.4055,0.2337,0.2965,0.1811,0.0813,0.1122
dexa,0.6036,0.4592,0.5735,0.1814,0.5451,0.5673,0.1679,0.9324,0.2845,0.1439,0.7995,0.2439,0.0757,0.011,0.0738,0.0049,0.0668,0.0723,0.0238,0.4096,0.0449,0.0008,0.0247,0.0016,0.0504,0.0033,0.0445,0.0021,0.0409,0.0467,0.0166,0.1019,0.0286,0.0002,0.0048,0.0004
ngame,0.5768,0.4005,0.4291,0.1548,0.4122,0.4485,0.166,0.9471,0.2825,0.1381,0.8367,0.237,0.0336,0.0109,0.0473,0.0049,0.0489,0.0487,0.0227,0.3795,0.0428,0.0007,0.0248,0.0013,0.0485,0.0033,0.0401,0.0021,0.0405,0.047,0.0151,0.1122,0.0266,0.0001,0.0056,0.0002
