,P@1,RS@1,P@2,RS@2,P@3,N@3,$\mu$P,$\mu$R,$\mu$F1,MaP,MaR,MaF1
fastxml,0.6643,0.0983,0.6073,0.0259,0.5719,0.6003,0.8123,0.2109,0.3333,0.2206,0.0391,0.0663
parabel,0.7336,0.0695,0.6445,0.0156,0.5945,0.6332,0.5136,0.401,0.4502,0.3285,0.1412,0.1975
cascadexml,0.9402,0.5204,0.9022,0.0706,0.8675,0.8887,0.8217,0.6746,0.7409,0.5981,0.4102,0.4866
attentionxml,0.9502,0.6674,0.9157,0.2372,0.8864,0.9054,0.8061,0.7307,0.766,0.6152,0.4787,0.5375
lightxml,0.9413,0.5856,0.8988,0.2117,0.86,0.8834,0.839,0.6312,0.7204,0.5772,0.3528,0.4379
match,0.9353,0.574,0.8896,0.198,0.8461,0.8714,0.8052,0.6368,0.7112,0.5794,0.3892,0.4655
xmlcnn,0.9092,0.5374,0.8496,0.1777,0.799,0.8297,0.842,0.4959,0.6242,0.5282,0.2287,0.3191
hector,0.9061,0.4642,0.8022,0.0786,0.7425,0.7815,0.8335,0.1345,0.2315,0.5586,0.1186,0.1954
dexa,0.8755,0.3437,0.8377,0.0651,0.782,0.8089,0.0441,0.9382,0.0842,0.0355,0.8504,0.0681
ngame,0.877,0.3212,0.8338,0.0612,0.7797,0.8072,0.043,0.9159,0.0822,0.0295,0.8469,0.0571
