,P@1,RS@1,P@2,RS@2,P@3,N@3,$\mu$P,$\mu$R,$\mu$F1,MaP,MaR,MaF1
fastxml,0.7633,0.3903,0.7213,0.1765,0.6656,0.6942,0.8387,0.4289,0.5675,0.6599,0.2385,0.3503
parabel,0.8153,0.5261,0.7667,0.1877,0.6858,0.7205,0.8391,0.3958,0.5379,0.7719,0.302,0.4341
cascadexml,0.9582,0.8617,0.9345,0.3818,0.8528,0.8806,0.8829,0.7864,0.8318,0.8448,0.7143,0.774
attentionxml,0.9656,0.9006,0.9469,0.4169,0.867,0.8935,0.8846,0.8009,0.8405,0.8662,0.7617,0.8104
lightxml,0.9557,0.8483,0.9344,0.3765,0.8507,0.8788,0.8913,0.7771,0.8303,0.8583,0.709,0.7765
match,0.9536,0.8497,0.93,0.3819,0.8459,0.8742,0.8675,0.7887,0.8262,0.8328,0.7382,0.7826
xmlcnn,0.9272,0.793,0.8906,0.3389,0.8084,0.8394,0.8904,0.674,0.7672,0.8172,0.5211,0.6364
hector,0.9388,0.8448,0.8633,0.3715,0.7998,0.8279,0.9152,0.4873,0.6348,0.8717,0.5712,0.6897
dexa,0.9102,0.5626,0.8845,0.1803,0.8067,0.832,0.072,0.9541,0.1339,0.0586,0.9449,0.1103
ngame,0.9128,0.533,0.8834,0.1712,0.8056,0.8317,0.0734,0.9513,0.1363,0.0598,0.9463,0.1124
