,P@1,RS@1,P@2,RS@2,P@3,N@3,$\mu$P,$\mu$R,$\mu$F1,MaP,MaR,MaF1
fastxml,0.4357,0.0151,0.4158,0.0071,0.4092,0.4323,0.7718,0.0771,0.1402,0.0767,0.0044,0.0083
parabel,0.5702,0.2749,0.5484,0.022,0.5488,0.5565,0.4483,0.4338,0.4409,0.3494,0.0793,0.1293
cascadexml,0.9263,0.7835,0.9025,0.0727,0.8871,0.8995,0.8013,0.5022,0.6174,0.4155,0.1509,0.2214
attentionxml,0.9237,0.7947,0.9006,0.1736,0.8853,0.8976,0.7989,0.5091,0.6219,0.4135,0.1494,0.2195
lightxml,0.922,0.8019,0.8993,0.1429,0.8834,0.8958,0.8094,0.4859,0.6072,0.3245,0.1044,0.158
match,0.9233,0.7933,0.9012,0.2087,0.886,0.898,0.7971,0.5053,0.6185,0.522,0.1796,0.2673
xmlcnn,0.914,0.7895,0.886,0.1885,0.8675,0.8822,0.8196,0.4318,0.5656,0.396,0.0862,0.1416
hector,0.8805,0.6872,0.8476,0.0552,0.8201,0.8388,0.9677,0.0013,0.0026,0.0055,0.0001,0.0001
dexa,0.5997,0.3026,0.5004,0.0302,0.4557,0.4895,0.0604,0.5803,0.1094,0.001,0.0145,0.0019
ngame,0.5768,0.368,0.4185,0.0322,0.3895,0.4282,0.06,0.5769,0.1088,0.0008,0.0144,0.0016
