,P@1,RS@1,P@2,RS@2,P@3,N@3,$\mu$P,$\mu$R,$\mu$F1,MaP,MaR,MaF1
fastxml,0.6276,0.3618,0.518,0.0481,0.5353,0.5745,0.628,0.2348,0.3418,0.2795,0.0178,0.0335
parabel,0.5906,0.4009,0.5035,0.0681,0.5223,0.5572,0.4552,0.3686,0.4074,0.4245,0.1721,0.2449
cascadexml,0.8442,0.5833,0.7826,0.1471,0.7761,0.8078,0.7827,0.5533,0.6483,0.6296,0.3023,0.4085
attentionxml,0.88,0.6854,0.8331,0.2603,0.8327,0.8585,0.7775,0.674,0.7214,0.6503,0.5179,0.5745
lightxml,0.8808,0.6842,0.8334,0.2563,0.8333,0.8591,0.8047,0.6488,0.7184,0.6997,0.4519,0.5488
match,0.8834,0.7079,0.8372,0.2717,0.8355,0.8612,0.8012,0.6581,0.7226,0.7037,0.4726,0.5655
xmlcnn,0.8538,0.6742,0.7938,0.2222,0.7989,0.8283,0.8105,0.5512,0.6562,0.7066,0.2961,0.4173
hector,0.8767,0.6362,0.8246,0.1349,0.7173,0.7752,0.7713,0.3251,0.4572,0.5434,0.1919,0.2832
dexa,0.3638,0.136,0.3546,0.0173,0.3677,0.3863,0.0258,0.7236,0.0498,0.0069,0.1864,0.0133
ngame,0.2891,0.2553,0.1981,0.0167,0.3028,0.3026,0.0265,0.7437,0.0512,0.0043,0.1626,0.0084
