,P@1,RS@1,P@3,N@3,$\mu$P,$\mu$R,$\mu$F1,MaP,MaR,MaF1,P@2,RS@2
fastxml,0.4966,0.018,0.5498,0.5886,0.8503,0.1419,0.242,0.1663,0.0267,0.046,,
parabel,0.5492,0.0095,0.5495,0.5957,0.5728,0.2941,0.3887,0.291,0.1077,0.1573,,
cascadexml,0.7937,0.0275,0.7733,0.8111,0.7935,0.6134,0.6919,0.5584,0.3687,0.4441,,
attentionxml,0.8272,0.2487,0.8047,0.8388,0.7828,0.6687,0.7207,0.5829,0.4362,0.498,,
lightxml,0.7847,0.2114,0.7667,0.805,0.8144,0.5691,0.67,0.532,0.3098,0.3916,,
match,0.7639,0.1776,0.7453,0.7853,0.765,0.5793,0.6593,0.5411,0.3527,0.4269,,
xmlcnn,0.7156,0.1828,0.709,0.7506,0.8213,0.4223,0.5578,0.474,0.1942,0.2755,,
hector,0.8496,0.7372,0.7786,0.8101,0.8971,0.6769,0.7716,0.8291,0.6163,0.707,0.8089,0.3372
dexa,0.7196,0.0283,0.6747,0.7207,0.0348,0.9005,0.0669,0.0323,0.8386,0.0622,,
ngame,0.7176,0.027,0.672,0.719,0.026,0.8864,0.0505,0.024,0.8374,0.0466,,
tamlec,0.9022,1.178,0.8219,0.8458,0.918,0.8337,0.8697,0.8862,0.7908,0.8309,0.8556,2.5332
