,P@1,RS@1,P@3,N@3,$\mu$P,$\mu$R,$\mu$F1,MaP,MaR,MaF1,P@2,RS@2
fastxml,0.6757,0.3172,0.7535,0.8,0.8442,0.4273,0.5673,0.5861,0.2081,0.3071,,
parabel,0.7393,0.4353,0.7579,0.8058,0.8538,0.4206,0.5636,0.77,0.3006,0.4324,,
cascadexml,0.9041,0.6824,0.8875,0.914,0.9065,0.8513,0.878,0.8396,0.7351,0.7838,,
attentionxml,0.9295,0.8185,0.9325,0.9495,0.9103,0.88,0.8948,0.8764,0.8045,0.8387,,
lightxml,0.9073,0.7021,0.8753,0.907,0.9152,0.8516,0.8822,0.8556,0.7398,0.7934,,
match,0.901,0.7237,0.8811,0.9094,0.8902,0.8599,0.8748,0.8351,0.7711,0.8017,,
xmlcnn,0.8566,0.6497,0.86,0.8935,0.9111,0.7086,0.7972,0.8061,0.5117,0.626,,
hector,0.9949,0.9943,1.0,1.0,0.9952,0.9644,0.9796,0.99,0.9475,0.9683,0.9846,0.4924
dexa,0.8383,0.2045,0.7828,0.8341,0.0473,0.9506,0.0901,0.0408,0.9498,0.0782,,
ngame,0.8333,0.1865,0.7978,0.8455,0.0498,0.9467,0.0947,0.0429,0.9523,0.0821,,
tamlec,0.974,1.0296,0.9855,0.9866,0.9761,0.9538,0.9641,0.9688,0.9377,0.9516,0.9539,2.1082
