,P@1,RS@1,P@3,N@3,$\mu$P,$\mu$R,$\mu$F1,MaP,MaR,MaF1,P@2,RS@2
fastxml,0.4357,0.0151,0.4092,0.4323,0.7718,0.0771,0.1402,0.0767,0.0044,0.0083,,
parabel,0.5042,0.0055,0.4552,0.4838,0.4502,0.2548,0.3254,0.3493,0.0777,0.1271,,
cascadexml,0.2954,0.0152,0.1489,0.1853,0.8081,0.0398,0.0759,0.2128,0.026,0.0464,,
attentionxml,0.7951,0.087,0.724,0.757,0.7574,0.3993,0.523,0.4119,0.1477,0.2174,,
lightxml,0.7881,0.065,0.7083,0.7432,0.7835,0.3532,0.4869,0.3224,0.1026,0.1557,,
match,0.7943,0.1085,0.7162,0.7506,0.7659,0.3797,0.5077,0.5208,0.178,0.2653,,
xmlcnn,0.759,0.09,0.6813,0.7168,0.8158,0.2825,0.4196,0.3941,0.0845,0.1392,,
hector,0.7105,0.0146,0.6894,0.7212,0.8833,0.3572,0.5087,0.6976,0.3631,0.4776,0.6867,0.011
dexa,0.0677,0.0085,0.0781,0.0753,0.0296,0.3589,0.0547,0.0006,0.0133,0.0011,,
ngame,0.0628,0.0089,0.091,0.0875,0.0289,0.343,0.0533,0.0004,0.0131,0.0008,,
tamlec,0.7925,2.1286,0.7823,0.8137,0.8743,0.5483,0.6665,0.6711,0.4419,0.5299,0.7753,4.4814
