,P@1,RS@1,P@3,N@3,$\mu$P,$\mu$R,$\mu$F1,MaP,MaR,MaF1,P@2,RS@2
fastxml,0.4216,0.0518,0.4059,0.4357,0.793,0.0487,0.0918,0.2727,0.0121,0.0232,,
parabel,0.4819,0.0843,0.4511,0.4879,0.498,0.226,0.3109,0.4242,0.1675,0.2402,,
cascadexml,0.7035,0.1822,0.6363,0.6783,0.7483,0.4454,0.5584,0.6263,0.2954,0.4014,,
attentionxml,0.7792,0.3995,0.7304,0.769,0.7401,0.601,0.6624,0.6476,0.5141,0.571,,
lightxml,0.7783,0.3888,0.729,0.7677,0.7774,0.5641,0.6537,0.6976,0.4471,0.5447,,
match,0.7829,0.4249,0.7319,0.7705,0.7688,0.5783,0.66,0.7016,0.4682,0.5616,,
xmlcnn,0.7349,0.3335,0.6848,0.7261,0.7972,0.4462,0.5722,0.7047,0.2901,0.411,,
hector,0.836,0.6558,0.7647,0.8004,0.9072,0.5491,0.6841,0.9166,0.708,0.7989,0.7884,0.3028
dexa,0.0301,0.0165,0.0571,0.0555,0.0141,0.6066,0.0276,0.0036,0.1727,0.007,,
tamlec,0.8326,1.4552,0.8236,0.8478,0.8143,0.7432,0.7748,0.8586,0.8224,0.8394,0.8259,2.9705
